unit,name
noUnit,Mineralwasser
ml,Mineralwasser
l,Mineralwasser
cl,Mineralwasser
TL,Nelken
noUnit,Nelken
EL,Nelken
noUnit,Mango
große,Mango
g,Mango
noUnit,Ei (Größe M)
noUnit,reife Bananen
kleiner,Granatapfel
noUnit,Granatapfel
g,rote Linsen
EL,rote Linsen
Messerspitze,Paprika edelsüß
Prise(n),Paprika edelsüß
TL,Paprika edelsüß
noUnit,Paprika edelsüß
g,Kohlrabi
Knolle(n),Kohlrabi
Köpfe,Kohlrabi
noUnit,Kohlrabi
kg,Kohlrabi
große,Kohlrabi
g,schwarze Oliven
noUnit,schwarze Oliven
EL,schwarze Oliven
Messerspitze,Natron
TL,Natron
g,Natron
g,REWE Bio Schlagsahne
ml,REWE Bio Schlagsahne
ml,Rotweinessig
TL,Rotweinessig
EL,Rotweinessig
noUnit,Rotweinessig
g,Risotto-Reis
noUnit,REWE Feine Welt Rosa Kristallsalz
g,REWE Feine Welt Rosa Kristallsalz
Prise(n),REWE Feine Welt Rosa Kristallsalz
kg,Hähnchenbrust
g,Hähnchenbrust
noUnit,Hähnchenbrust
Stück,Hähnchenbrust
l,trockener Rotwein
ml,trockener Rotwein
Flasche(n),trockener Rotwein
noUnit,Chili
Schote(n),Chili
kleine,Chili
Prise(n),Chili
g,getrocknete Aprikosen
noUnit,getrocknete Aprikosen
g,Ziegenfrischkäse
Packung(en),Kresse
EL,Kresse
g,Kresse
Beet(e),Kresse
noUnit,Kresse
Bund,Kresse
etwas,Kresse
kg,Rosenkohl
g,Rosenkohl
g,griechischer Joghurt
EL,griechischer Joghurt
noUnit,Limetten
noUnit,Pastinaken
g,Pastinaken
TL,REWE Feine Welt Lesvos g.g.A. Olivenöl
EL,REWE Feine Welt Lesvos g.g.A. Olivenöl
TL,Kakao
EL,Kakao
g,Kakao
noUnit,Kakao
Prise(n),frisch gemahlener Pfeffer
TL,frisch gemahlener Pfeffer
noUnit,frisch gemahlener Pfeffer
g,Heidelbeeren
g,Ananas
kleine,Ananas
noUnit,Ananas
g,Hackfleisch
Messerspitze,Gewürznelken
TL,Gewürznelken
noUnit,Gewürznelken
Kopf,Weißkohl
g,Weißkohl
noUnit,Weißkohl
kleiner,Weißkohl
noUnit,REWE Bio Eier
TL,Kapern
g,Kapern
EL,Kapern
Glas,Kapern
kg,grobes Meersalz
Prise(n),grobes Meersalz
TL,grobes Meersalz
g,grobes Meersalz
EL,grobes Meersalz
noUnit,grobes Meersalz
g,Couscous
Tasse(n),Couscous
Kopf,Spitzkohl
g,Spitzkohl
kleiner,Spitzkohl
noUnit,Spitzkohl
noUnit,kleine Zwiebel
noUnit,Gewürzgurken
g,Gewürzgurken
g,mehligkochende Kartoffeln
kg,mehligkochende Kartoffeln
große,mehligkochende Kartoffeln
noUnit,mehligkochende Kartoffeln
Stange(n),Porree
g,Dinkelmehl
noUnit,kleine Kartoffeln
kg,kleine Kartoffeln
g,kleine Kartoffeln
TL,Pfefferkörner
EL,Pfefferkörner
noUnit,Pfefferkörner
noUnit,gelbe Paprikaschote
noUnit,Eiweiß
EL,Margarine
TL,Margarine
g,Margarine
g,Spaghetti
g,Zuckerschoten
g,gehackte Tomaten
Dose(n),gehackte Tomaten
ml,gehackte Tomaten
TL,getrocknete Cranberries
g,getrocknete Cranberries
EL,getrocknete Cranberries
EL,Erdnussbutter
g,Erdnussbutter
EL,Ketchup
TL,Ketchup
g,Ketchup
ml,Ketchup
noUnit,Ketchup
kleine,grüne Paprika
Schote(n),grüne Paprika
noUnit,grüne Paprika
noUnit,schwarze Pfefferkörner
EL,schwarze Pfefferkörner
TL,schwarze Pfefferkörner
Handvoll,schwarze Pfefferkörner
noUnit,REWE Bio Roh-Rohrzucker
EL,REWE Bio Roh-Rohrzucker
g,REWE Bio Roh-Rohrzucker
TL,REWE Bio Roh-Rohrzucker
g,Saure Sahne
EL,Saure Sahne
cl,Rum
ml,Rum
EL,Rum
TL,Rum
noUnit,Hähnchenbrustfilets
g,Hähnchenbrustfilets
g,REWE Beste Wahl Weizenmehl Type 405
EL,REWE Beste Wahl Weizenmehl Type 405
TL,REWE Beste Wahl Weizenmehl Type 405
noUnit,rote Chili
Schote(n),rote Chili
kleine,rote Chili
halbe,rote Chili
EL,ja! Sonnenblumenöl
noUnit,schwarzer Pfeffer
EL,schwarzer Pfeffer
TL,schwarzer Pfeffer
g,TK-Erbsen
EL,Curry
TL,Curry
noUnit,Curry
noUnit,Eier (Gr. M)
noUnit,Knollensellerie
g,Knollensellerie
ml,Vollmilch
l,Vollmilch
noUnit,Bio-Zitronen
noUnit,REWE Bio Pfeffer a. d. Mühle
noUnit,Chiasamen
EL,Chiasamen
g,Chiasamen
TL,Chiasamen
noUnit,Paprika
TL,Paprika
Schote(n),Paprika
Stange(n),Sellerie
g,Sellerie
Scheibe(n),Bacon
g,Bacon
Packung(en),Bacon
Stange(n),Vanille
noUnit,Vanille
Schote(n),Vanille
g,Speck
Scheibe(n),Speck
noUnit,kleine Zucchini
EL,mittelscharfer Senf
TL,mittelscharfer Senf
ml,Weißwein-Essig
EL,Weißwein-Essig
g,Wirsing
Kopf,Wirsing
noUnit,Wirsing
Scheibe(n),Toastbrot
g,Toastbrot
g,REWE Bio Schmand
g,Haselnüsse
EL,Haselnüsse
Handvoll,Haselnüsse
Stück,Fenchel
noUnit,Fenchel
g,Fenchel
Knolle(n),Fenchel
noUnit,Puderzucker zum Bestäuben
EL,Puderzucker zum Bestäuben
g,REWE Frei von Mehlmischung
EL,REWE Frei von Mehlmischung
noUnit,Zitronen
Stange(n),Rhabarber
g,Rhabarber
g,geriebener Käse
noUnit,geriebener Käse
EL,geriebener Gouda
g,geriebener Gouda
TL,geriebener Gouda
Zweig(e),Kerbel
Bund,Kerbel
Stange(n),Kerbel
