nameId,name,amount,unit,unitId,frequency
2310,Rotbarschfilet,700,g,1,7729
2311,Haselnüsse (gehackt),40,g,1,7729
2317,zarte Hafterflocken,300,g,1,7729
2322,Möhren,300,g,1,7729
2325,Sojabohnenkeimlinge,100,g,1,7729
2329,Rotbarschfilet,700,g,1,7729
2332,Semmelbrösel,100,g,1,7729
2337,Blattspinat,100,g,1,7729
2338,Weizenmehl,200,g,1,7729
2358,Cherrytomaten,200,g,1,7729
2361,kalte Butter,150,g,1,7729
2364,Rotbarschfilet,400,g,1,7729
2365,Frühstücksspeck,100,g,1,7729
2367,Champignonköpfe,100,g,1,7729
2377,Feldsalat,300,g,1,7729
2385,Bacon-Scheiben,250,g,1,7729
2387,Walnüsse,100,g,1,7729
2388,Blumenkohl (TK),400,g,1,7729
2389,Blattspinat,150,g,1,7729
2390,rote Linsen,200,g,1,7729
2399,Quark,125,g,1,7729
2400,Amaranth,300,g,1,7729
2405,Kirschtomaten,250,g,1,7729
2412,Grünkohl,900,g,1,7729
2414,Möhren,500,g,1,7729
2429,gemischtes Hackfleisch,400,g,1,7729
2449,Blumenkohl,500,g,1,7729
2458,Feldsalat,100,g,1,7729
2463,Ingwer,40,g,1,7729
2472,Kichererbsen aus der Dose  (z. B. von REWE Beste Wahl),500,g,1,7729
2475,Kokoschips,100,g,1,7729
2478,Fusilli,500,g,1,7729
2480,Räucherlachs,150,g,1,7729
2481,Baby-Spinat,600,g,1,7729
2495,Räucherlachs,120,g,1,7729
2496,weißer Sesam,20,g,1,7729
2497,schwarzer Sesam,5,g,1,7729
2504,Butter,270,g,1,7729
2523,Blattspinat,600,g,1,7729
2524,Muschelnudeln,300,g,1,7729
2531,Ricotta,250,g,1,7729
2533,Zott Zottarella Rolle Classic,250,g,1,7729
2534,Basilikum,15,g,1,7729
2535,Walnusskernhälften,50,g,1,7729
2536,Erdnusskerne,75,g,1,7729
2537,REWE frei von Früchte-Müsli,300,g,1,7729
2538,getrocknete Datteln,150,g,1,7729
2541,getrocknete Gojibeeren,100,g,1,7729
2542,REWE Frei von Vollmilchschokolade,100,g,1,7729
2547,Büffelmozzarella,125,g,1,7729
2549,Pesto genovese,100,g,1,7729
2553,Butter,150,g,1,7729
2556,Mehl,300,g,1,7729
2566,Salami,100,g,1,7729
2568,Mozzarella,100,g,1,7729
2570,Fusilli,500,g,1,7729
2574,Mini Peperoni Salami,150,g,1,7729
